k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,10,SAT_10,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,9,SAT_9,15,8000000000,42,70.0,5000000.0,1.0,119999999999
1,3,SAT_3,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,7,SAT_7,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,12,SAT_12,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,11,SAT_11,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,1,SAT_1,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,8,SAT_8,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,14,SAT_14,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,5,SAT_5,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,0,SAT_0,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,2,SAT_2,15,8000000000,42,70.0,5000000.0,1.0,119999999999
1,4,SAT_4,15,8000000000,42,70.0,5000000.0,1.0,120000000000
1,13,SAT_13,15,8000000000,42,70.0,5000000.0,1.0,119999999999
1,6,SAT_6,15,8000000000,42,70.0,5000000.0,1.0,119999999999
2,1,"SAT_5,SAT_12",15,8000000000,42,70.0,5000000.0,0.933505,112020573345
2,3,"SAT_8,SAT_14",15,8000000000,42,70.0,5000000.0,1.0,119999999999
2,2,"SAT_6,SAT_7",15,8000000000,42,70.0,5000000.0,1.0,119999999999
2,0,"SAT_4,SAT_7",15,8000000000,42,70.0,5000000.0,0.759026,91083083797
2,4,"SAT_1,SAT_2",15,8000000000,42,70.0,5000000.0,0.946976,113637087627
2,6,"SAT_3,SAT_13",15,8000000000,42,70.0,5000000.0,1.0,120000000000
2,9,"SAT_0,SAT_4",15,8000000000,42,70.0,5000000.0,1.0,119999999999
2,5,"SAT_1,SAT_10",15,8000000000,42,70.0,5000000.0,0.988523,118622757047
2,7,"SAT_2,SAT_4",15,8000000000,42,70.0,5000000.0,1.0,119999999999
2,8,"SAT_2,SAT_13",15,8000000000,42,70.0,5000000.0,1.0,120000000000
