k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
3,27,"SAT_8,SAT_13,SAT_14",15,8000000000,42,30.0,25000000.0,0.978244,117389279387
3,23,"SAT_7,SAT_9,SAT_12",15,8000000000,42,30.0,25000000.0,0.857143,102857206798
3,29,"SAT_5,SAT_11,SAT_14",15,8000000000,42,30.0,25000000.0,1.0,120000000000
4,1,"SAT_2,SAT_7,SAT_8,SAT_14",15,8000000000,42,30.0,25000000.0,0.916243,109949144968
3,26,"SAT_1,SAT_3,SAT_9",15,8000000000,42,30.0,25000000.0,0.872113,104653597625
3,24,"SAT_6,SAT_7,SAT_14",15,8000000000,42,30.0,25000000.0,0.924911,110989313531
4,0,"SAT_0,SAT_3,SAT_5,SAT_8",15,8000000000,42,30.0,25000000.0,0.752596,90311557422
3,25,"SAT_0,SAT_9,SAT_12",15,8000000000,42,30.0,25000000.0,0.743055,89166641512
3,28,"SAT_6,SAT_10,SAT_11",15,8000000000,42,30.0,25000000.0,0.936658,112398997079
4,3,"SAT_5,SAT_8,SAT_9,SAT_11",15,8000000000,42,30.0,25000000.0,0.946201,113544167461
4,2,"SAT_0,SAT_2,SAT_3,SAT_7",15,8000000000,42,30.0,25000000.0,0.785395,94247376559
4,5,"SAT_1,SAT_3,SAT_8,SAT_13",15,8000000000,42,30.0,25000000.0,0.763623,91634791641
4,4,"SAT_5,SAT_7,SAT_12,SAT_13",15,8000000000,42,30.0,25000000.0,0.852284,102274065293
4,14,"SAT_2,SAT_3,SAT_4,SAT_10",15,8000000000,42,30.0,25000000.0,0.965311,115837305040
4,6,"SAT_7,SAT_8,SAT_9,SAT_14",15,8000000000,42,30.0,25000000.0,0.875522,105062663055
4,10,"SAT_4,SAT_7,SAT_8,SAT_11",15,8000000000,42,30.0,25000000.0,0.776918,93230106272
4,9,"SAT_5,SAT_7,SAT_10,SAT_12",15,8000000000,42,30.0,25000000.0,0.8449,101388033062
4,8,"SAT_0,SAT_7,SAT_8,SAT_12",15,8000000000,42,30.0,25000000.0,0.773567,92827999112
4,15,"SAT_6,SAT_12,SAT_13,SAT_14",15,8000000000,42,30.0,25000000.0,0.885572,106268628582
4,12,"SAT_0,SAT_1,SAT_8,SAT_14",15,8000000000,42,30.0,25000000.0,0.863293,103595122656
4,7,"SAT_4,SAT_5,SAT_9,SAT_10",15,8000000000,42,30.0,25000000.0,0.631184,75742068640
