k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,8,SAT_8,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,9,SAT_9,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,5,SAT_5,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,3,SAT_3,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,14,SAT_14,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,11,SAT_11,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,1,SAT_1,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,10,SAT_10,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,2,SAT_2,15,8000000000,42,1.0,25000000.0,1.0,119999999999
1,4,SAT_4,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,0,SAT_0,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,7,SAT_7,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,13,SAT_13,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,12,SAT_12,15,8000000000,42,1.0,25000000.0,1.0,120000000000
1,6,SAT_6,15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,4,"SAT_1,SAT_2",15,8000000000,42,1.0,25000000.0,0.976369,117164303370
2,0,"SAT_4,SAT_7",15,8000000000,42,1.0,25000000.0,0.740262,88831458536
2,3,"SAT_8,SAT_14",15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,2,"SAT_6,SAT_7",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,7,"SAT_2,SAT_4",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,5,"SAT_1,SAT_10",15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,8,"SAT_2,SAT_13",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,9,"SAT_0,SAT_4",15,8000000000,42,1.0,25000000.0,0.986849,118421860242
2,1,"SAT_5,SAT_12",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,6,"SAT_3,SAT_13",15,8000000000,42,1.0,25000000.0,0.97251,116701225102
2,10,"SAT_10,SAT_13",15,8000000000,42,1.0,25000000.0,0.913012,109561488481
2,12,"SAT_6,SAT_10",15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,11,"SAT_11,SAT_13",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,13,"SAT_0,SAT_2",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,14,"SAT_0,SAT_13",15,8000000000,42,1.0,25000000.0,0.965968,115916179875
2,16,"SAT_5,SAT_11",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,17,"SAT_2,SAT_14",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,15,"SAT_1,SAT_8",15,8000000000,42,1.0,25000000.0,0.987652,118518280387
2,18,"SAT_7,SAT_12",15,8000000000,42,1.0,25000000.0,0.894425,107330961509
2,19,"SAT_10,SAT_14",15,8000000000,42,1.0,25000000.0,0.866505,103980649099
2,21,"SAT_4,SAT_6",15,8000000000,42,1.0,25000000.0,0.949409,113929131043
2,24,"SAT_0,SAT_10",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,22,"SAT_3,SAT_6",15,8000000000,42,1.0,25000000.0,0.914688,109762566693
2,23,"SAT_3,SAT_10",15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,20,"SAT_6,SAT_13",15,8000000000,42,1.0,25000000.0,0.909519,109142333186
2,25,"SAT_3,SAT_8",15,8000000000,42,1.0,25000000.0,0.938395,112607412557
2,27,"SAT_11,SAT_14",15,8000000000,42,1.0,25000000.0,1.0,120000000000
2,26,"SAT_2,SAT_12",15,8000000000,42,1.0,25000000.0,1.0,120000000000
3,1,"SAT_2,SAT_7,SAT_14",15,8000000000,42,1.0,25000000.0,0.999941,119992927564
3,2,"SAT_3,SAT_5,SAT_10",15,8000000000,42,1.0,25000000.0,0.966375,115965026773
2,29,"SAT_8,SAT_13",15,8000000000,42,1.0,25000000.0,1.0,119999999999
2,28,"SAT_9,SAT_13",15,8000000000,42,1.0,25000000.0,1.0,120000000000
3,0,"SAT_1,SAT_6,SAT_13",15,8000000000,42,1.0,25000000.0,0.85165,102197987737
3,3,"SAT_1,SAT_5,SAT_13",15,8000000000,42,1.0,25000000.0,0.918777,110253244286
3,4,"SAT_0,SAT_4,SAT_10",15,8000000000,42,1.0,25000000.0,0.860556,103266691091
3,5,"SAT_1,SAT_9,SAT_11",15,8000000000,42,1.0,25000000.0,0.696669,83600308584
3,6,"SAT_2,SAT_3,SAT_8",15,8000000000,42,1.0,25000000.0,0.897429,107691461211
3,9,"SAT_3,SAT_5,SAT_8",15,8000000000,42,1.0,25000000.0,0.934876,112185112821
3,7,"SAT_0,SAT_1,SAT_13",15,8000000000,42,1.0,25000000.0,0.918267,110192049161
3,8,"SAT_0,SAT_4,SAT_6",15,8000000000,42,1.0,25000000.0,0.962644,115517249683
3,13,"SAT_7,SAT_10,SAT_14",15,8000000000,42,1.0,25000000.0,0.969106,116292668546
3,10,"SAT_0,SAT_1,SAT_7",15,8000000000,42,1.0,25000000.0,0.880488,105658619030
3,11,"SAT_0,SAT_6,SAT_10",15,8000000000,42,1.0,25000000.0,0.952486,114298332038
3,17,"SAT_6,SAT_8,SAT_11",15,8000000000,42,1.0,25000000.0,1.0,120000000000
3,14,"SAT_0,SAT_6,SAT_12",15,8000000000,42,1.0,25000000.0,0.919927,110391283966
3,12,"SAT_1,SAT_7,SAT_12",15,8000000000,42,1.0,25000000.0,0.850851,102102129491
3,16,"SAT_9,SAT_10,SAT_13",15,8000000000,42,1.0,25000000.0,0.941611,112993294773
3,15,"SAT_1,SAT_10,SAT_11",15,8000000000,42,1.0,25000000.0,0.873258,104790930734
3,18,"SAT_4,SAT_12,SAT_13",15,8000000000,42,1.0,25000000.0,0.84011,100813254165
3,19,"SAT_0,SAT_2,SAT_8",15,8000000000,42,1.0,25000000.0,0.842774,101132903228
3,21,"SAT_0,SAT_3,SAT_13",15,8000000000,42,1.0,25000000.0,0.847711,101725282787
