k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,8,SAT_8,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,10,SAT_10,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,3,SAT_3,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,1,SAT_1,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,4,SAT_4,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,9,SAT_9,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,11,SAT_11,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,5,SAT_5,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,2,SAT_2,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,14,SAT_14,15,8000000000,42,10.0,25000000.0,1.0,119999999999
1,0,SAT_0,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,7,SAT_7,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,12,SAT_12,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,13,SAT_13,15,8000000000,42,10.0,25000000.0,1.0,120000000000
1,6,SAT_6,15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,4,"SAT_1,SAT_2",15,8000000000,42,10.0,25000000.0,0.976,117120045426
2,8,"SAT_2,SAT_13",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,3,"SAT_8,SAT_14",15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,7,"SAT_2,SAT_4",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,1,"SAT_5,SAT_12",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,2,"SAT_6,SAT_7",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,5,"SAT_1,SAT_10",15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,0,"SAT_4,SAT_7",15,8000000000,42,10.0,25000000.0,0.736618,88394216078
2,6,"SAT_3,SAT_13",15,8000000000,42,10.0,25000000.0,0.96785,116141941806
2,12,"SAT_6,SAT_10",15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,11,"SAT_11,SAT_13",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,9,"SAT_0,SAT_4",15,8000000000,42,10.0,25000000.0,0.983769,118052236843
2,10,"SAT_10,SAT_13",15,8000000000,42,10.0,25000000.0,0.909244,109109226894
2,13,"SAT_0,SAT_2",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,14,"SAT_0,SAT_13",15,8000000000,42,10.0,25000000.0,0.962365,115483743144
2,15,"SAT_1,SAT_8",15,8000000000,42,10.0,25000000.0,0.987159,118459085933
2,16,"SAT_5,SAT_11",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,17,"SAT_2,SAT_14",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,19,"SAT_10,SAT_14",15,8000000000,42,10.0,25000000.0,0.862707,103524869745
2,18,"SAT_7,SAT_12",15,8000000000,42,10.0,25000000.0,0.890644,106877236960
2,22,"SAT_3,SAT_6",15,8000000000,42,10.0,25000000.0,0.910948,109313808783
2,20,"SAT_6,SAT_13",15,8000000000,42,10.0,25000000.0,0.905805,108696638186
2,21,"SAT_4,SAT_6",15,8000000000,42,10.0,25000000.0,0.945789,113494627769
2,27,"SAT_11,SAT_14",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,24,"SAT_0,SAT_10",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,23,"SAT_3,SAT_10",15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,25,"SAT_3,SAT_8",15,8000000000,42,10.0,25000000.0,0.935204,112224511161
2,26,"SAT_2,SAT_12",15,8000000000,42,10.0,25000000.0,1.0,120000000000
2,29,"SAT_8,SAT_13",15,8000000000,42,10.0,25000000.0,1.0,119999999999
2,28,"SAT_9,SAT_13",15,8000000000,42,10.0,25000000.0,1.0,120000000000
3,1,"SAT_2,SAT_7,SAT_14",15,8000000000,42,10.0,25000000.0,0.997896,119747543333
3,2,"SAT_3,SAT_5,SAT_10",15,8000000000,42,10.0,25000000.0,0.962042,115445074383
3,0,"SAT_1,SAT_6,SAT_13",15,8000000000,42,10.0,25000000.0,0.84791,101749145665
3,3,"SAT_1,SAT_5,SAT_13",15,8000000000,42,10.0,25000000.0,0.914392,109727072622
3,6,"SAT_2,SAT_3,SAT_8",15,8000000000,42,10.0,25000000.0,0.893112,107173398146
3,8,"SAT_0,SAT_4,SAT_6",15,8000000000,42,10.0,25000000.0,0.958598,115031719064
3,4,"SAT_0,SAT_4,SAT_10",15,8000000000,42,10.0,25000000.0,0.856713,102805585580
3,5,"SAT_1,SAT_9,SAT_11",15,8000000000,42,10.0,25000000.0,0.691846,83021553800
3,9,"SAT_3,SAT_5,SAT_8",15,8000000000,42,10.0,25000000.0,0.930944,111713325650
3,13,"SAT_7,SAT_10,SAT_14",15,8000000000,42,10.0,25000000.0,0.964507,115740799848
3,7,"SAT_0,SAT_1,SAT_13",15,8000000000,42,10.0,25000000.0,0.913892,109667079178
3,11,"SAT_0,SAT_6,SAT_10",15,8000000000,42,10.0,25000000.0,0.949105,113892557675
3,15,"SAT_1,SAT_10,SAT_11",15,8000000000,42,10.0,25000000.0,0.868583,104229967005
3,10,"SAT_0,SAT_1,SAT_7",15,8000000000,42,10.0,25000000.0,0.877039,105244723234
3,12,"SAT_1,SAT_7,SAT_12",15,8000000000,42,10.0,25000000.0,0.846299,101555833093
