k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,1,SAT_1,15,40000000000,42,30.0,25000000.0,0.255209,153125387298
1,8,SAT_8,15,40000000000,42,30.0,25000000.0,0.256659,153995393256
1,0,SAT_0,15,40000000000,42,30.0,25000000.0,0.255675,153404831085
1,4,SAT_4,15,40000000000,42,30.0,25000000.0,0.255688,153412677278
1,12,SAT_12,15,40000000000,42,30.0,25000000.0,0.254567,152740218320
1,11,SAT_11,15,40000000000,42,30.0,25000000.0,0.255154,153092511387
1,10,SAT_10,15,40000000000,42,30.0,25000000.0,0.255716,153429805060
1,5,SAT_5,15,40000000000,42,30.0,25000000.0,0.254568,152741034150
1,9,SAT_9,15,40000000000,42,30.0,25000000.0,0.255195,153116782338
1,14,SAT_14,15,40000000000,42,30.0,25000000.0,0.255973,153583648799
1,2,SAT_2,15,40000000000,42,30.0,25000000.0,0.256541,153924791367
1,6,SAT_6,15,40000000000,42,30.0,25000000.0,0.256612,153967369991
1,3,SAT_3,15,40000000000,42,30.0,25000000.0,0.256317,153790075140
1,7,SAT_7,15,40000000000,42,30.0,25000000.0,0.255803,153482083244
1,13,SAT_13,15,40000000000,42,30.0,25000000.0,0.256703,154021901075
2,1,"SAT_5,SAT_12",15,40000000000,42,30.0,25000000.0,0.249133,149479585734
2,2,"SAT_6,SAT_7",15,40000000000,42,30.0,25000000.0,0.250025,150015045351
2,5,"SAT_1,SAT_10",15,40000000000,42,30.0,25000000.0,0.249666,149799786957
2,3,"SAT_8,SAT_14",15,40000000000,42,30.0,25000000.0,0.251046,150627680289
2,4,"SAT_1,SAT_2",15,40000000000,42,30.0,25000000.0,0.250095,150057020761
2,7,"SAT_2,SAT_4",15,40000000000,42,30.0,25000000.0,0.250949,150569622862
2,6,"SAT_3,SAT_13",15,40000000000,42,30.0,25000000.0,0.251597,150958424552
2,9,"SAT_0,SAT_4",15,40000000000,42,30.0,25000000.0,0.24944,149663813919
2,8,"SAT_2,SAT_13",15,40000000000,42,30.0,25000000.0,0.252266,151359457418
2,0,"SAT_4,SAT_7",15,40000000000,42,30.0,25000000.0,0.249827,149896436645
2,10,"SAT_10,SAT_13",15,40000000000,42,30.0,25000000.0,0.251386,150831487868
