k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,8,SAT_8,15,80000000000,42,30.0,25000000.0,0.128329,153995393256
1,11,SAT_11,15,80000000000,42,30.0,25000000.0,0.127577,153092511387
1,10,SAT_10,15,80000000000,42,30.0,25000000.0,0.127858,153429805060
1,3,SAT_3,15,80000000000,42,30.0,25000000.0,0.128158,153790075140
1,14,SAT_14,15,80000000000,42,30.0,25000000.0,0.127986,153583648799
1,5,SAT_5,15,80000000000,42,30.0,25000000.0,0.127284,152741034150
1,6,SAT_6,15,80000000000,42,30.0,25000000.0,0.128306,153967369991
1,2,SAT_2,15,80000000000,42,30.0,25000000.0,0.128271,153924791367
1,0,SAT_0,15,80000000000,42,30.0,25000000.0,0.127837,153404831085
1,12,SAT_12,15,80000000000,42,30.0,25000000.0,0.127284,152740218320
1,9,SAT_9,15,80000000000,42,30.0,25000000.0,0.127597,153116782338
1,1,SAT_1,15,80000000000,42,30.0,25000000.0,0.127604,153125387298
1,13,SAT_13,15,80000000000,42,30.0,25000000.0,0.128352,154021901075
1,7,SAT_7,15,80000000000,42,30.0,25000000.0,0.127902,153482083244
1,4,SAT_4,15,80000000000,42,30.0,25000000.0,0.127844,153412677278
2,3,"SAT_8,SAT_14",15,80000000000,42,30.0,25000000.0,0.125523,150627680289
2,4,"SAT_1,SAT_2",15,80000000000,42,30.0,25000000.0,0.125048,150057020761
2,7,"SAT_2,SAT_4",15,80000000000,42,30.0,25000000.0,0.125475,150569622862
2,2,"SAT_6,SAT_7",15,80000000000,42,30.0,25000000.0,0.125013,150015045351
2,6,"SAT_3,SAT_13",15,80000000000,42,30.0,25000000.0,0.125799,150958424552
2,1,"SAT_5,SAT_12",15,80000000000,42,30.0,25000000.0,0.124566,149479585734
2,0,"SAT_4,SAT_7",15,80000000000,42,30.0,25000000.0,0.124914,149896436645
2,8,"SAT_2,SAT_13",15,80000000000,42,30.0,25000000.0,0.126133,151359457418
2,9,"SAT_0,SAT_4",15,80000000000,42,30.0,25000000.0,0.12472,149663813919
2,5,"SAT_1,SAT_10",15,80000000000,42,30.0,25000000.0,0.124833,149799786957
2,13,"SAT_0,SAT_2",15,80000000000,42,30.0,25000000.0,0.124935,149922008634
2,11,"SAT_11,SAT_13",15,80000000000,42,30.0,25000000.0,0.125604,150724299817
2,10,"SAT_10,SAT_13",15,80000000000,42,30.0,25000000.0,0.125693,150831487868
2,12,"SAT_6,SAT_10",15,80000000000,42,30.0,25000000.0,0.125108,150129520122
2,14,"SAT_0,SAT_13",15,80000000000,42,30.0,25000000.0,0.125422,150506844868
2,16,"SAT_5,SAT_11",15,80000000000,42,30.0,25000000.0,0.124528,149434095885
2,17,"SAT_2,SAT_14",15,80000000000,42,30.0,25000000.0,0.125596,150714615979
2,15,"SAT_1,SAT_8",15,80000000000,42,30.0,25000000.0,0.125137,150163986742
2,23,"SAT_3,SAT_10",15,80000000000,42,30.0,25000000.0,0.125163,150196100613
2,24,"SAT_0,SAT_10",15,80000000000,42,30.0,25000000.0,0.124734,149681017899
2,19,"SAT_10,SAT_14",15,80000000000,42,30.0,25000000.0,0.125137,150164483790
2,18,"SAT_7,SAT_12",15,80000000000,42,30.0,25000000.0,0.125051,150060675646
2,22,"SAT_3,SAT_6",15,80000000000,42,30.0,25000000.0,0.125595,150714318537
2,21,"SAT_4,SAT_6",15,80000000000,42,30.0,25000000.0,0.125494,150592799648
2,26,"SAT_2,SAT_12",15,80000000000,42,30.0,25000000.0,0.12535,150420124773
2,25,"SAT_3,SAT_8",15,80000000000,42,30.0,25000000.0,0.125325,150389850442
2,27,"SAT_11,SAT_14",15,80000000000,42,30.0,25000000.0,0.124992,149990249932
2,20,"SAT_6,SAT_13",15,80000000000,42,30.0,25000000.0,0.125735,150882510403
3,1,"SAT_2,SAT_7,SAT_14",15,80000000000,42,30.0,25000000.0,0.123435,148121574352
2,28,"SAT_9,SAT_13",15,80000000000,42,30.0,25000000.0,0.125563,150675958458
2,29,"SAT_8,SAT_13",15,80000000000,42,30.0,25000000.0,0.126054,151265032322
3,2,"SAT_3,SAT_5,SAT_10",15,80000000000,42,30.0,25000000.0,0.122647,147176225291
3,0,"SAT_1,SAT_6,SAT_13",15,80000000000,42,30.0,25000000.0,0.123699,148438282712
3,9,"SAT_3,SAT_5,SAT_8",15,80000000000,42,30.0,25000000.0,0.122596,147115181064
3,8,"SAT_0,SAT_4,SAT_6",15,80000000000,42,30.0,25000000.0,0.123121,147745270396
3,4,"SAT_0,SAT_4,SAT_10",15,80000000000,42,30.0,25000000.0,0.122928,147513127070
3,6,"SAT_2,SAT_3,SAT_8",15,80000000000,42,30.0,25000000.0,0.123601,148321578887
3,3,"SAT_1,SAT_5,SAT_13",15,80000000000,42,30.0,25000000.0,0.12289,147468033012
3,7,"SAT_0,SAT_1,SAT_13",15,80000000000,42,30.0,25000000.0,0.123019,147622997801
3,10,"SAT_0,SAT_1,SAT_7",15,80000000000,42,30.0,25000000.0,0.122521,147025697068
3,11,"SAT_0,SAT_6,SAT_10",15,80000000000,42,30.0,25000000.0,0.123242,147890051197
3,5,"SAT_1,SAT_9,SAT_11",15,80000000000,42,30.0,25000000.0,0.12285,147419731296
3,13,"SAT_7,SAT_10,SAT_14",15,80000000000,42,30.0,25000000.0,0.123323,147987015855
3,14,"SAT_0,SAT_6,SAT_12",15,80000000000,42,30.0,25000000.0,0.123249,147898833364
3,15,"SAT_1,SAT_10,SAT_11",15,80000000000,42,30.0,25000000.0,0.122965,147558339659
3,12,"SAT_1,SAT_7,SAT_12",15,80000000000,42,30.0,25000000.0,0.123075,147690585845
3,17,"SAT_6,SAT_8,SAT_11",15,80000000000,42,30.0,25000000.0,0.123356,148027604501
3,16,"SAT_9,SAT_10,SAT_13",15,80000000000,42,30.0,25000000.0,0.123281,147937258218
3,19,"SAT_0,SAT_2,SAT_8",15,80000000000,42,30.0,25000000.0,0.123215,147857717002
3,20,"SAT_4,SAT_8,SAT_14",15,80000000000,42,30.0,25000000.0,0.123517,148219950409
3,22,"SAT_0,SAT_7,SAT_14",15,80000000000,42,30.0,25000000.0,0.12297,147564105162
3,18,"SAT_4,SAT_12,SAT_13",15,80000000000,42,30.0,25000000.0,0.122957,147548018223
3,21,"SAT_0,SAT_3,SAT_13",15,80000000000,42,30.0,25000000.0,0.123502,148202877188
3,24,"SAT_6,SAT_7,SAT_14",15,80000000000,42,30.0,25000000.0,0.123141,147769026820
3,25,"SAT_0,SAT_9,SAT_12",15,80000000000,42,30.0,25000000.0,0.122764,147316423900
4,1,"SAT_2,SAT_7,SAT_8,SAT_14",15,80000000000,42,30.0,25000000.0,0.121887,146264532366
3,29,"SAT_5,SAT_11,SAT_14",15,80000000000,42,30.0,25000000.0,0.122726,147271130531
3,23,"SAT_7,SAT_9,SAT_12",15,80000000000,42,30.0,25000000.0,0.123079,147694899647
3,27,"SAT_8,SAT_13,SAT_14",15,80000000000,42,30.0,25000000.0,0.123805,148566201441
3,26,"SAT_1,SAT_3,SAT_9",15,80000000000,42,30.0,25000000.0,0.123276,147930870155
4,0,"SAT_0,SAT_3,SAT_5,SAT_8",15,80000000000,42,30.0,25000000.0,0.12176,146112215022
4,2,"SAT_0,SAT_2,SAT_3,SAT_7",15,80000000000,42,30.0,25000000.0,0.121395,145674312312
4,3,"SAT_5,SAT_8,SAT_9,SAT_11",15,80000000000,42,30.0,25000000.0,0.121131,145356741671
3,28,"SAT_6,SAT_10,SAT_11",15,80000000000,42,30.0,25000000.0,0.12294,147528181915
4,4,"SAT_5,SAT_7,SAT_12,SAT_13",15,80000000000,42,30.0,25000000.0,0.122127,146552295654
4,6,"SAT_7,SAT_8,SAT_9,SAT_14",15,80000000000,42,30.0,25000000.0,0.121813,146176179491
4,5,"SAT_1,SAT_3,SAT_8,SAT_13",15,80000000000,42,30.0,25000000.0,0.12201,146412098861
4,9,"SAT_5,SAT_7,SAT_10,SAT_12",15,80000000000,42,30.0,25000000.0,0.120929,145114777537
4,7,"SAT_4,SAT_5,SAT_9,SAT_10",15,80000000000,42,30.0,25000000.0,0.121549,145859195974
4,13,"SAT_0,SAT_2,SAT_12,SAT_13",15,80000000000,42,30.0,25000000.0,0.122183,146619036195
4,14,"SAT_2,SAT_3,SAT_4,SAT_10",15,80000000000,42,30.0,25000000.0,0.121854,146225055556
